Description	ID	Manufacturer	Manufacturer Part Number	Supplier	Supplier Part Number	Reference Designators	Line Quantity	Order Quantity	Unit Price	Order Price	Datasheet 1	Datasheet 2	Datasheet 3	Datasheet 4	Datasheet 5	Datasheet 6	Datasheet 7	Datasheet 8	Datasheet 9	Datasheet 10	Datasheet 11	Datasheet 12	Datasheet 13
IC MCU 32BIT 256KB FLASH LQFP	ATMEL/ATSAM4S4AA-AU	Atmel	ATSAM4S4AA-AU			U1	1	200		0	http://datasheet.octopart.com/ATSAM4S4AA-AU-Atmel-datasheet-27633495.pdf												
DNP	DNP					X1 FID1 FID2 FID3 FID4 FID5 FID6																	
CONN PLUG USB 4POS RT ANG SMD	MOLEX/480-37-1000	Molex	480-37-1000	Avnet Express	48037-1000	JP1	1	200	0.6262	125.24	http://datasheet.octopart.com/480-37-1000-Molex-datasheet-13746209.pdf	http://datasheet.octopart.com/480-37-1000-Molex-datasheet-8701693.pdf	http://datasheet.octopart.com/480-37-1000-Molex-datasheet-13538907.pdf	http://datasheet.octopart.com/48037-1000-Molex-datasheet-5318679.pdf	http://datasheet.octopart.com/480371000-Molex-datasheet-142259.pdf								
IC CRYPTO TPM LPC 28TSSOP	ATMEL/AT97SC3205-X3A12-20	Atmel	AT97SC3205-X3A12-20	Digi-Key	AT97SC3205-X3A12-20-ND	TPM1	1	200	3.343	668.6													
IC CRYPTO 4.5KB SWI	ATMEL/ATSHA204-RBH-T	Atmel	ATSHA204-RBH-T			SHA1	1	200		0													
EEPROM CRYPTO 8KB SWI 8SOIC	ATMEL/ATECC108A-SSHCZ-T	Atmel	ATECC108A-SSHCZ-T			ECC1	1	200		0													
AES 32KBIT EEPROM SOIC	ATMEL/ATAES132A-SHER-B	Atmel	ATAES132A-SHER-B			AES1	1	200		0													
LED GREEN CLEAR 0603 SMD	LITEON/LTST-C190GKT	Lite-On	LTST-C190GKT	Digi-Key	160-1183-1-ND	D1 D2 D3 D4 D5 D6	6	1250	0.05148	64.35	http://datasheet.octopart.com/LTST-C190GKT-Lite-On-datasheet-93383.pdf	http://datasheet.octopart.com/LTST-C190GKT-Lite-On-datasheet-14174996.pdf	http://datasheet.octopart.com/LTST-C190GKT-Lite-On-datasheet-7279162.pdf	http://datasheet.octopart.com/LTST-C190GKT-Lite-On-datasheet-158530.pdf									
CAP CER 2200PF 25V 10% X7R 0201	TDK/C0603X7R1E222K030BA	TDK	C0603X7R1E222K030BA	Newark	04X3198	C2 C4 C6 C8	4	1000	0.006	6													
RES SMD 825K OHM 1% 1/20W 0201	PANASONIC/ERJ-1GEF8253C	Panasonic	ERJ-1GEF8253C	Mouser	667-ERJ-1GEF8253C	R1	1	250	0.017	4.25													
RES SMD 3.92K OHM 1% 1/20W 0201	PANASONIC/ERJ-1GEF3921C	Panasonic	ERJ-1GEF3921C	Mouser	667-ERJ-1GEF3921C	R2	1	250	0.017	4.25													
