sep=;
"Qty";"Value";"Device";"Package";"Parts";"Description";"PROD_ID";"VALUE";
"7";".1uF";"CAPACITOR.0402";"0402";"C9, C10, C11, C13, C14, C16, C18";"";"";"";
"1";"0.02uF";"CAPACITOR.0402";"0402";"C7";"";"";"";
"3";"0.1uF";"CAPACITOR.0402";"0402";"C1, C3, C5";"";"";"";
"6";"100K";"RESISTOR.0402";"0402";"R9, R11, R12, R13, R14, R15";"";"";"";
"1";"10K";"RESISTOR.0402";"0402";"R7";"";"";"";
"1";"10uF";"CAPACITOR.0402";"0402";"C22";"";"";"";
"1";"12MHZ";"RESONATOR12MHZ";"RESONATOR-SMD";"Y1";"Resonator";"XTAL-08900";"16MHZ";
"1";"2.2uH";"INDUCTOR0402";"C0402";"L1";"Inductors";"";"";
"4";"2200pF";"CAPACITOR.0402";"0402";"C2, C4, C6, C8";"";"";"";
"2";"22pF";"CAPACITOR.0402";"0402";"C23, C24";"";"";"";
"1";"22uF";"CAPACITOR.0603";"0603";"C20";"";"";"";
"2";"27";"RESISTOR.0402";"0402";"R3, R4";"";"";"";
"1";"3.92K";"RESISTOR.0402";"0402";"R2";"";"";"";
"1";"32KHz";"CRYSTALEPSONMC146";"CRYSTAL-32KHZ-SMD_EPSON_MC146";"Y2";"Various standard crystals. Proven footprints.";"";"";
"1";"4.7";"RESISTOR.0402";"0402";"R10";"";"";"";
"2";"4.7K";"RESISTOR.0402";"0402";"R5, R6";"";"";"";
"3";"4.7uF";"CAPACITOR.0402";"0402";"C12, C17, C19";"";"";"";
"6";"470";"RESISTOR.0402";"0402";"R8, R16, R18, R19, R20, R21";"";"";"";
"1";"825";"RESISTOR.0402";"0402";"R1";"";"";"";
"1";"AT97SC3205";"AT97SC3205";"TSSOP28";"TPM1";"Atmel TPM 1.2";"";"";
"1";"ATAES132";"CRYPTOTRONIX_ATAES132";"CRYPTOTRONIX_SOIC8";"AES1";"32Kb Serial EEPROM.";"";"";
"1";"ATECC508";"ATECC508";"CRYPTOTRONIX_SOIC8";"ECC1";"ATECC108: Provides ECDSA with NIST curves P256, B283, and K283.  Also, a RNG, 8.5Kb EEPROM.  2.0V - 5.5V.";"";"";
"1";"ATSHA204";"CRYPTOTRONIX_ATSHA204";"CRYPTOTRONIX_SOIC8";"SHA1";"ATSHA204";"";"";
"6";"GREEN";"SPARKFUN-LED_LED-GREEN0603";"SPARKFUN-LED_LED-0603";"D1, D2, D3, D4, D5, D6";"Various green LEDs";"DIO-00821";"GREEN";
"1";"SAM4S4A";"SAM4S4A";"LQFP-48";"U1";"";"";"";
"6";"SPARKFUN-AESTHETICS_FIDUCIAL1X2";"SPARKFUN-AESTHETICS_FIDUCIAL1X2";"SPARKFUN-AESTHETICS_FIDUCIAL-1X2";"FID1, FID2, FID3, FID4, FID5, FID6";"Fiducial Alignment Points";"";"";
"1";"TC2050-NL-MCP-NL";"TC2050-NL-MCP-NL";"TC2030-MCP-NL";"X1";"TAG-CONNECT ISP ConnectorManufacturer: Tag-Connect";"";"";
"1";"TPS62172";"TPS62172";"WSON-8-PAD";"U2";"Texas Instruments TPS62172";"IC-11307";"";
"1";"USB-A-H";"USB-A-H";"USB-A-H";"JP1";"USB Connectors";"CONN-08367";"";
